city,temperature,humidity,condition,timestamp
Madhya Pradesh,16.5,55,clear sky,2026-01-02 22:21:53.466343
Madhya Pradesh,16.5,55,clear sky,2026-01-02 22:22:03.730292
Madhya Pradesh,16.5,55,clear sky,2026-01-02 22:22:14.368345
Madhya Pradesh,16.5,55,clear sky,2026-01-02 22:24:43.964305
Madhya Pradesh,16.5,55,clear sky,2026-01-02 22:25:12.575847
Delhi,13.05,76,mist,2026-01-02 22:26:49.898833
Himachal Pradesh,4.71,51,clear sky,2026-01-02 22:27:11.409808
Jammu,10.82,55,clear sky,2026-01-02 22:28:12.229358
